time,kg,elapsedTime
2023-05-23 21:39:55.202029,0.1,15.39
2023-05-23 21:39:55.331545,0.1,15.51
2023-05-23 21:39:55.453072,0.1,15.64
2023-05-23 21:39:55.578098,0.1,15.76
2023-05-23 21:39:55.710617,0.1,15.89
2023-05-23 21:39:55.833135,0.1,16.02
2023-05-23 21:39:55.961656,0.1,16.14
2023-05-23 21:39:56.071691,0.1,16.25
2023-05-23 21:39:56.197211,0.1,16.38
2023-05-23 21:39:56.324727,0.1,16.51
2023-05-23 21:39:56.451246,0.6,16.63
2023-05-23 21:39:56.578281,0.2,16.76
2023-05-23 21:39:56.689799,1.1,16.87
2023-05-23 21:39:56.815319,0.4,17.0
2023-05-23 21:39:58.017206,0.1,18.2
2023-05-23 21:39:58.144725,0.1,18.33
2023-05-23 21:39:58.272766,0.1,18.46
2023-05-23 21:39:58.396283,0.1,18.58
2023-05-23 21:39:58.522800,0.1,18.71
2023-05-23 21:39:58.652313,0.1,18.84
2023-05-23 21:39:58.759847,0.1,18.94
2023-05-23 21:39:58.884880,0.1,19.07
2023-05-23 21:39:59.012395,0.1,19.2
2023-05-23 21:39:59.137907,0.1,19.32
2023-05-23 21:39:59.264429,0.1,19.45
2023-05-23 21:39:59.392471,0.2,19.58
2023-05-23 21:39:59.505991,1.2,19.69
2023-05-23 21:39:59.625698,3.6,19.81
2023-05-23 21:40:00.831881,0.1,21.02
2023-05-23 21:40:00.954405,0.1,21.14
2023-05-23 21:40:01.080432,0.1,21.26
2023-05-23 21:40:01.211947,0.1,21.4
2023-05-23 21:40:01.334464,0.1,21.52
2023-05-23 21:40:01.457982,0.1,21.64
2023-05-23 21:40:01.587008,0.1,21.77
2023-05-23 21:40:01.711524,0.5,21.89
2023-05-23 21:40:01.821038,1.5,22.0
2023-05-23 21:40:01.949554,2.8,22.13
2023-05-23 21:40:02.073584,4.6,22.26
2023-05-23 21:40:02.197098,4.9,22.38
2023-05-23 21:40:02.325613,5.1,22.51
2023-05-23 21:40:02.450127,5.1,22.63
2023-05-23 21:40:02.576163,5.1,22.76
2023-05-23 21:40:02.683680,5.2,22.87
2023-05-23 21:40:02.815194,5.4,23.0
2023-05-23 21:40:02.890710,5.6,23.07
2023-05-23 21:40:03.018225,5.8,23.2
2023-05-23 21:40:03.141740,5.8,23.32
2023-05-23 21:40:03.269261,5.9,23.45
2023-05-23 21:40:03.395287,5.9,23.58
2023-05-23 21:40:03.519803,6.2,23.7
2023-05-23 21:40:03.631316,6.4,23.81
2023-05-23 21:40:03.762837,6.5,23.95
2023-05-23 21:40:03.883871,6.5,24.07
2023-05-23 21:40:04.011385,6.4,24.19
2023-05-23 21:40:04.142902,6.5,24.33
2023-05-23 21:40:04.266423,6.5,24.45
2023-05-23 21:40:04.393463,6.4,24.58
2023-05-23 21:40:04.521980,6.1,24.71
2023-05-23 21:40:04.646494,4.4,24.83
2023-05-23 21:40:04.773527,0.3,24.96
2023-05-23 21:40:04.882043,0.1,25.07
2023-05-23 21:40:05.011561,0.1,25.19
2023-05-23 21:40:05.135077,0.1,25.32
2023-05-23 21:40:05.262595,0.1,25.45
2023-05-23 21:40:05.387624,0.1,25.57
2023-05-23 21:40:05.496140,0.1,25.68
2023-05-23 21:40:05.564145,0.1,25.75
2023-05-23 21:40:05.703176,0.3,25.89
2023-05-23 21:40:05.826690,0.3,26.01
2023-05-23 21:40:05.950206,0.8,26.13
2023-05-23 21:40:06.077236,0.6,26.26
2023-05-23 21:40:06.203751,0.4,26.39
2023-05-23 21:40:06.331268,0.4,26.51
2023-05-23 21:40:06.456787,0.8,26.64
2023-05-23 21:40:06.583810,0.9,26.77
2023-05-23 21:40:06.709324,2.6,26.89
2023-05-23 21:40:06.820838,3.3,27.0
2023-05-23 21:40:06.946356,3.7,27.13
2023-05-23 21:40:07.076386,4.0,27.26
2023-05-23 21:40:07.198901,1.4,27.38
2023-05-23 21:40:07.324418,0.2,27.51
2023-05-23 21:40:07.452932,0.1,27.64
2023-05-23 21:40:07.576962,0.1,27.76
2023-05-23 21:40:07.704478,0.1,27.89
2023-05-23 21:40:07.830993,0.1,28.01
2023-05-23 21:40:07.955510,0.4,28.14
2023-05-23 21:40:08.079540,0.5,28.26
2023-05-23 21:40:08.210054,1.0,28.39
2023-05-23 21:40:08.317570,0.6,28.5
2023-05-23 21:40:08.443085,0.9,28.63
2023-05-23 21:40:08.570110,0.8,28.75
2023-05-23 21:40:08.692633,1.1,28.88
2023-05-23 21:40:08.820147,0.9,29.0
2023-05-23 21:40:08.947663,4.1,29.13
2023-05-23 21:40:09.071693,5.1,29.25
2023-05-23 21:40:09.196208,5.3,29.38
2023-05-23 21:40:09.323724,0.8,29.51
2023-05-23 21:40:09.450238,0.2,29.63
2023-05-23 21:40:09.561759,0.1,29.74
2023-05-23 21:40:09.641268,0.1,29.82
2023-05-23 21:40:09.767789,0.1,29.95
2023-05-23 21:40:09.891816,0.1,30.08
2023-05-23 21:40:10.020330,0.1,30.2
2023-05-23 21:40:10.145846,0.1,30.33
2023-05-23 21:40:10.272879,0.4,30.46
2023-05-23 21:40:10.387392,0.5,30.57
2023-05-23 21:40:10.506907,1.0,30.69
2023-05-23 21:40:10.649421,0.6,30.83
2023-05-23 21:40:10.763942,1.1,30.95
2023-05-23 21:40:10.885968,1.0,31.07
2023-05-23 21:40:11.013483,0.7,31.2
2023-05-23 21:40:11.121999,1.8,31.31
2023-05-23 21:40:11.201513,3.8,31.38
2023-05-23 21:40:11.330031,4.8,31.51
2023-05-23 21:40:11.451546,6.2,31.63
2023-05-23 21:40:11.577580,6.3,31.76
2023-05-23 21:40:11.707096,5.9,31.89
2023-05-23 21:40:11.830612,4.2,32.01
2023-05-23 21:40:11.958132,0.3,32.14
2023-05-23 21:40:12.087159,0.2,32.27
2023-05-23 21:40:12.195671,0.1,32.38
2023-05-23 21:40:12.321188,0.1,32.5
2023-05-23 21:40:12.448704,0.1,32.63
2023-05-23 21:40:12.575735,0.1,32.76
2023-05-23 21:40:12.703252,0.5,32.89
2023-05-23 21:40:12.828765,0.7,33.01
2023-05-23 21:40:12.954282,2.7,33.14
2023-05-23 21:40:13.081313,4.1,33.26
2023-05-23 21:40:13.206826,5.2,33.39
2023-05-23 21:40:13.335343,4.1,33.52
2023-05-23 21:40:13.459862,1.7,33.64
2023-05-23 21:40:13.571887,0.3,33.76
2023-05-23 21:40:13.703403,0.1,33.89
2023-05-23 21:40:13.825920,0.1,34.01
2023-05-23 21:40:13.954436,0.1,34.14
2023-05-23 21:40:14.064955,1.5,34.25
2023-05-23 21:40:15.267138,6.9,35.45
2023-05-23 21:40:15.394167,7.3,35.58
2023-05-23 21:40:15.508683,7.6,35.69
2023-05-23 21:40:15.647198,8.1,35.83
2023-05-23 21:40:15.773228,8.2,35.96
2023-05-23 21:40:15.887744,8.3,36.07
2023-05-23 21:40:16.013265,8.4,36.2
2023-05-23 21:40:16.137781,8.6,36.32
2023-05-23 21:40:16.266306,8.7,36.45
2023-05-23 21:40:16.389329,8.7,36.57
2023-05-23 21:40:16.512847,8.8,36.7
2023-05-23 21:40:16.645360,8.9,36.83
2023-05-23 21:40:16.766882,8.9,36.95
2023-05-23 21:40:16.876908,8.8,37.06
2023-05-23 21:40:18.079100,0.1,38.26
2023-05-23 21:40:18.202616,0.1,38.39
2023-05-23 21:40:18.327874,0.1,38.51
2023-05-23 21:40:18.453390,0.1,38.64
2023-05-23 21:40:18.577426,0.1,38.76
2023-05-23 21:40:18.699945,0.1,38.88
2023-05-23 21:40:18.827458,0.1,39.01
2023-05-23 21:40:18.953972,0.1,39.14
2023-05-23 21:40:19.081004,0.1,39.26
2023-05-23 21:40:19.208519,1.6,39.39
2023-05-23 21:40:19.336033,2.8,39.52
2023-05-23 21:40:19.463553,4.3,39.65
2023-05-23 21:40:19.588579,6.3,39.77
2023-05-23 21:40:19.700093,7.0,39.88
2023-05-23 21:40:19.777609,7.6,39.96
2023-05-23 21:40:19.905124,8.1,40.09
2023-05-23 21:40:20.031640,8.6,40.21
2023-05-23 21:40:20.158159,8.9,40.34
2023-05-23 21:40:20.284185,9.6,40.47
2023-05-23 21:40:20.409701,9.8,40.59
2023-05-23 21:40:20.537216,9.8,40.72
2023-05-23 21:40:20.649307,6.1,40.83
2023-05-23 21:40:20.775339,2.0,40.96
2023-05-23 21:40:20.904855,0.4,41.09
2023-05-23 21:40:21.029371,0.2,41.21
2023-05-23 21:40:21.153887,0.2,41.34
2023-05-23 21:40:21.283917,1.1,41.47
2023-05-23 21:40:21.404431,4.3,41.59
2023-05-23 21:40:21.529948,7.3,41.71
2023-05-23 21:40:21.660465,6.9,41.84
2023-05-23 21:40:21.783490,6.6,41.97
2023-05-23 21:40:21.893007,5.1,42.08
2023-05-23 21:40:21.957007,1.8,42.14
2023-05-23 21:40:22.097043,0.3,42.28
2023-05-23 21:40:22.227557,3.9,42.41
2023-05-23 21:40:22.348073,6.2,42.53
2023-05-23 21:40:22.458593,3.8,42.64
2023-05-23 21:40:22.585619,0.9,42.77
2023-05-23 21:40:22.712135,3.2,42.9
2023-05-23 21:40:22.838650,5.3,43.02
2023-05-23 21:40:22.965172,3.1,43.15
2023-05-23 21:40:23.091199,2.8,43.27
2023-05-23 21:40:23.214713,5.2,43.4
2023-05-23 21:40:23.343229,3.2,43.53
2023-05-23 21:40:23.469748,1.7,43.65
2023-05-23 21:40:23.597777,4.7,43.78
2023-05-23 21:40:23.723293,5.1,43.91
2023-05-23 21:40:23.849807,0.9,44.03
2023-05-23 21:40:23.975406,3.2,44.16
2023-05-23 21:40:24.086920,5.8,44.27
2023-05-23 21:40:24.216437,6.6,44.4
2023-05-23 21:40:24.339951,7.5,44.52
2023-05-23 21:40:24.466473,7.7,44.65
2023-05-23 21:40:24.594498,7.6,44.78
2023-05-23 21:40:24.702012,7.5,44.89
2023-05-23 21:40:24.782529,7.5,44.97
2023-05-23 21:40:24.906043,7.6,45.09
2023-05-23 21:40:25.032558,5.0,45.22
2023-05-23 21:40:25.163077,1.8,45.35
2023-05-23 21:40:25.284850,0.4,45.47
2023-05-23 21:40:25.411366,0.5,45.59
2023-05-23 21:40:25.521882,1.5,45.71
2023-05-23 21:40:25.649395,3.4,45.83
2023-05-23 21:40:25.776424,5.3,45.96
2023-05-23 21:40:25.900941,6.3,46.08
2023-05-23 21:40:26.028456,6.3,46.21
2023-05-23 21:40:26.152972,6.2,46.34
2023-05-23 21:40:26.279003,6.1,46.46
2023-05-23 21:40:26.403517,5.2,46.59
2023-05-23 21:40:26.531033,2.4,46.71
2023-05-23 21:40:26.656547,0.4,46.84
2023-05-23 21:40:26.783577,0.2,46.97
2023-05-23 21:40:26.911093,0.1,47.09
2023-05-23 21:40:27.038607,0.1,47.22
2023-05-23 21:40:27.153123,0.1,47.34
2023-05-23 21:40:27.277157,0.1,47.46
2023-05-23 21:40:27.387671,0.1,47.57
2023-05-23 21:40:27.512187,0.1,47.7
2023-05-23 21:40:27.638701,0.1,47.82
2023-05-23 21:40:27.764222,0.1,47.95
2023-05-23 21:40:27.889247,0.1,48.07
2023-05-23 21:40:28.012763,0.1,48.2
2023-05-23 21:40:28.139279,0.1,48.32
2023-05-23 21:40:28.265797,0.1,48.45
2023-05-23 21:40:28.392822,0.1,48.58
2023-05-23 21:40:28.474334,0.1,48.66
2023-05-23 21:40:28.595864,0.1,48.78
